name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"Moogy's Sandwich Shop, Boston","154 Chestnut Hill Ave, Boston, MA 02135-4639",(15),7,3,4,0,1,$$ - $$$,Fast Food,Deli,
"Kim's Tofu, Boston","160 Brighton Ave, Boston, MA 02134-2011",(5),3,0,1,0,0,,,,
"La Colombe Coffee Roasters, Boston","745 Atlantic Ave South Station, Boston, MA 02111-2735",(7),2,4,0,0,0,Cafe,,,
"Teriyaki House, Boston","1110 Boylston St, Boston, MA 02215-3601",(21),4,10,4,1,1,$,Japanese,Sushi,Asian
"Cha Cha Cha Taqueria, Boston","145 Dartmouth St, Boston, MA 02116-5162",(9),5,2,1,0,0,Mexican,,,
"Sweet Kingdom, Boston","145 Harvard Ave, Boston, MA 02134-2702",(9),2,5,0,0,0,$$ - $$$,Chinese,Asian,Malaysian
"Vaisakhi Indian Kitchen, Boston","157 Sutherland Rd, Boston, MA 02135",(7),3,3,1,0,0,,,,
"Alma Gaucha Prime Brazilian Steakhouse, Boston","401 D St inside Aloft Hotel, Boston, MA 02210-1907",(4),4,0,0,0,0,Steakhouse,,,
"Qdoba Mexican Grill, Boston","101 Causeway St, Boston, MA 02114-1308",(10),4,4,1,0,0,Mexican,,,
"Little Dipper, Boston","669 Centre St, Boston, MA 02130-2556",(7),3,3,1,0,0,$$ - $$$,American,,
"Brato Brewhouse & Kitchen, Boston","190 N Beacon St, Boston, MA 02135-2027",(5),3,2,0,0,0,$$ - $$$,,,
"Sweet Caroline's, Boston","1260 Boylston St, Boston, MA 02215-4445",(61),16,16,14,11,3,$$ - $$$,American,Bar,Pub
"Sterling's, Boston","60 State St, Boston, MA 02109-1800",(66),12,24,16,2,10,$$ - $$$,American,Bar,
"Sausage Connection, Boston","Lansdowne St, Boston, MA 02446",(7),4,1,0,0,0,$,American,,
"Wen's Yunnan Noodle and Ramen, Boston","144 Tremont St, Boston, MA 02111-1202",(5),4,1,0,0,0,$,Japanese,African,Asian
"New Saigon, Boston","985 Bennington St, Boston, MA 02128-1134",(18),4,8,2,1,1,$,Asian,Vietnamese,
"Hing Shing Pastry, Boston","67 Beach St, Boston, MA 02111-2130",(10),5,4,0,0,0,$,Chinese,,
"Landmark Public House, Boston","772 Adams St Dorchester Center, Boston, MA 02124-5104",(15),8,3,0,1,2,$$ - $$$,Bar,Pub,
"Ideal Sub Shop, Boston","522 Dudley St, Boston, MA 02119-2769",(9),6,2,1,0,0,Soups,,,
"Wisteria Restaurant, Boston","821 Washington St, Boston, MA 02111-1519",(64),12,13,19,8,6,$$ - $$$,American,,
"No Relation, Boston","11 William E. Mullins Way at Harrison Ave, Boston, MA 02118",(4),3,1,0,0,0,$$$$,Sushi,,
"sweetgreen, Boston","132 Brookline Ave, Boston, MA 02215",(5),3,2,0,0,0,,,,
"Anh Hong, Boston","291 Adams St, Boston, MA 02122-1333",(12),3,5,1,0,0,Asian,Vietnamese,,
"Slades Bar & Grill, Boston","958 Tremont St, Boston, MA 02120-2118",(9),4,2,3,0,0,$$ - $$$,,,
"Currito, Boston","Airport Road Terminal C, Main Terminal Food Court, Boston, MA 02128",(33),1,17,10,3,2,$,Mexican,Southwestern,Fast Food
"Thai Spice, Boston","1745 Centre St, Boston, MA 02132-1535",(10),5,2,2,1,0,$,Thai,,
"Cheeseboy, Boston","800 Boylston St, Boston, MA 02199-1900",(12),1,8,1,0,0,,,,
"Franklin Cafe, Boston","150 Dorchester Ave, Boston, MA 02127-1097",(17),5,8,3,1,0,Cafe,,,
"Amelia's Taqueria, Boston","1936 Beacon St, Boston, MA 02135-7701",(4),3,1,0,0,0,$$ - $$$,,,
"Bennett’s Sandwich Shop, Boston","84 Peterborough St, Boston, MA 02215-4847",(5),3,2,0,0,0,American,,,
"Blue Glass Cafe, Boston","200 Clarendon St, Boston, MA 02116-5021",(13),1,8,3,0,0,$$ - $$$,Cafe,,
"Nino's Pizza, Boston","79 Charles St, Boston, MA 02114-4632",(23),5,11,4,0,2,$,Pizza,Fast Food,
"Frank Anthony's, Boston","9 Fan Pier Blvd Seaport, Boston, MA 02210-2143",(8),3,3,1,1,0,$,American,,
"Chinese Dragon, Boston","380 Chelsea St, Boston, MA 02128-1481",(8),3,5,0,0,0,$$ - $$$,Chinese,,
"Joseph's Deli, Boston","258 K St, Boston, MA 02127-3104",(11),5,4,1,1,0,Deli,,,
"Metro Cafe, Boston","332 Congress St, Boston, MA 02210-1217",(10),3,3,3,0,0,Pizza,Cafe,,
"4th Wall Restaurant, Boston","228 Tremont St, Boston, MA 02116-4706",(10),4,3,0,0,2,$$ - $$$,American,Bar,Barbecue
"Saigon Hut, Boston","305 Meridian St, Boston, MA 02128-1625",(11),2,6,2,1,0,$,Asian,Vietnamese,Soups
"Kneeland Cafe, Boston","75 Kneeland St 1st Floor, Boston, MA 02111-1901",(4),4,0,0,0,0,,,,
"Hale and Hearty Soups, Boston","185 Franklin St B/T Pearl and Congress St in Financial District, Boston, MA 02110-1532",(7),3,3,0,0,0,$,American,Healthy,Soups
"Rice Bowl, Boston","6 Hemenway St, Boston, MA 02115-2907",(8),3,4,1,0,0,Chinese,,,
"Monica's Pasta Shop, Boston","141 Richmond St, Boston, MA 02109-1414",(3),3,0,0,0,0,Italian,,,
"Dumpling Palace, Boston","179 Massachusetts Ave Back Bay, Boston, MA 02115-3009",(44),7,18,7,4,6,$$ - $$$,Chinese,Asian,Shanghai
"Buco Trattoria, Boston","300 Summer St, Boston, MA 02210-1115",(8),2,4,2,0,0,$$ - $$$,Italian,,
"Moody's Delicatessen & Provisions - Back Bay, Boston","500 Boylston St, Boston, MA 02116-3740",(8),5,0,3,0,0,$,American,,
"The Dolce Vita Cafe, Boston","1698 Commonwealth Ave, Boston, MA 02135-5602",(5),2,3,0,0,0,$,Cafe,,
"sweetgreen, Boston","60 State Street, Boston, MA 02109",(4),2,2,0,0,0,,,,
"Au Bon Pain, Boston","300 Longwood Ave, Boston, MA 02115-5724",(17),8,4,1,1,2,$$ - $$$,Cafe,Soups,
"Emilios Pizza & Sub Shop, Boston","536 Tremont St, Boston, MA 02116-6335",(38),10,13,5,3,4,$,Italian,Pizza,Fast Food
"Mama Blanca Restaurant, Boston","1045 Saratoga St, Boston, MA 02128-1239",(5),4,1,0,0,0,,,,
"Blaze Pizza, Boston","961 Commonwealth Ave, Boston, MA 02215-1305",(10),4,4,0,0,1,$,Pizza,,
"Bodega Canal, Boston","57 Canal St, Boston, MA 02114-2005",(23),7,7,4,2,3,$$ - $$$,Mexican,Latin,South American
"Haju Kitchen, Boston","175 Massachusetts Ave, Boston, MA 02115-3009",(5),3,1,1,0,0,$$ - $$$,Asian,Korean,
"Paradise Rock Club & Lounge, Boston","967 Commonwealth Ave, Boston, MA 02215-1305",(8),4,2,0,1,0,,,,
"The Bullpen Kitchen + Tap, Boston","19-21 Jersey St, Boston, MA 02215-4147",(15),6,5,2,1,1,$$ - $$$,Bar,Pub,
"The Bostonian Market And Cafe, Boston","40 Fay St, Boston, MA 02118-4318",(7),1,4,1,0,0,,,,
"Rizzo's Pizza, Boston","347 Centre St, Boston, MA 02130-1239",(5),3,2,0,0,0,Pizza,,,
Boston Sports Grille,"132 Canal St, Boston, MA 02114-1805",(53),10,19,7,4,7,$$ - $$$,American,Bar,Pub
"Alex's Chimis, Boston","358C Centre St, Boston, MA 02130-1208",(9),4,3,1,1,0,$,Latin,Spanish,
"The Daily Catch Waterfront, Boston","65 Atlantic Ave, Boston, MA 02110-3714",(3),3,0,0,0,0,$$$$,Italian,Cafe,Seafood
"The Bacon Truck, Boston","Boston, MA 02129",(4),3,1,0,0,0,American,Cafe,,
"Somtum Modern Thai Cuisine, Boston","1894 Centre St, Boston, MA 02132-1924",(4),4,0,0,0,0,,,,
"The Westland, Boston","10 Westland Ave, Boston, MA 02115-3905",(22),6,7,4,3,2,$$ - $$$,American,Bar,Pub
"Genarros, Boston","3 Center Plz, Boston, MA 02108-2003",(15),6,5,0,3,0,$$ - $$$,Italian,,
"Connexion Lounge, Boston","110 Huntington Ave Boston Marriott Copley Place, Boston, MA 02116-5706",(18),4,5,5,2,0,$$ - $$$,American,Bar,Pub
"Energize, Boston","618 Washington St, Boston, MA 02135-2564",(4),3,0,0,0,0,$,Healthy,,
"Taqueria El Carrizal, Boston","254 Brighton Ave, Boston, MA 02134-2034",(6),5,1,0,0,0,$$ - $$$,Mexican,,
"Fiorella's Express, Boston","2 Tremont St, Boston, MA 02135-2407",(9),8,0,0,0,1,$,Italian,Pizza,
"The Upper Crust, Boston","683 Tremont St, Boston, MA 02118-1262",(15),6,6,1,1,1,$$ - $$$,Pizza,,
"Villa Mexico Cafe, Boston","121 Water St, Boston, MA 02109-4823",(11),7,1,1,0,2,$,Mexican,,
"Philadelphia Steak & Sub Co, Boston","Faneuil Hall Marketplace Quincy Market, Boston, MA 02109",(35),6,9,5,3,4,$,Fast Food,,
"D'Guru Restaurant, Boston","185 Devonshire St, Boston, MA 02110-1407",(11),4,4,3,0,0,$,,,
"Sushiemon, Boston","201 Massachusetts Ave, Boston, MA 02115-3043",(8),2,4,0,0,0,$$ - $$$,Japanese,Sushi,
"Whole Foods Market, Boston","15 Westland Ave, Boston, MA 02115-4558",(8),1,2,1,0,0,$$ - $$$,,,
"Au Bon Pain, Boston","133 Brookline Ave, Boston, MA 02215-3904",(6),3,2,0,0,0,$$ - $$$,,,
"Pizzaria 260, Boston","260 W Broadway, Boston, MA 02127-1913",(6),4,2,0,0,0,Italian,,,
"The Proper Slice, Boston","547 Washington St, Boston, MA 02111-1718",(12),7,4,0,1,0,Pizza,,,
"Futago Udon, Boston","508 Park Dr # 512 Audubon Circle/Fenway, Boston, MA 02215-2901",(4),3,1,0,0,0,,,,
"Cappy's Pizza & Subs, Boston","82 Westland Ave, Boston, MA 02115-3811",(12),7,3,1,1,0,$$ - $$$,Pizza,Fast Food,Deli
"Christos Pizza, Boston","1761 Centre St, Boston, MA 02132-1535",(8),4,2,1,1,0,$,Pizza,Greek,
"City Feed and Supply, Boston","66 Boylston St, Boston, MA 02130-2203",(10),3,5,2,0,0,$$ - $$$,Deli,,
"Tedeschi Food Shops, Boston","1 1st Ave Ste 34, Boston, MA 02129-4504",(6),2,2,1,0,0,,,,
"Gyroscope, Boston","305 Huntington Ave, Boston, MA 02115-4401",(3),3,0,0,0,0,Deli,,,
"Cosi, Boston","2 South St Suite 182, Boston, MA 02110",(9),2,3,1,0,0,$,,,
"Bon Me, Boston","441 Stuart St, Boston, MA 02116-5019",(4),1,2,0,0,0,$,Asian,Vietnamese,
"Montecristo, Boston","748A Huntington Ave, Boston, MA 02115-6313",(13),2,6,0,0,1,$,Mexican,,
"Lucky Rice, Boston","71 Broad St, Boston, MA 02109-4808",(11),5,2,3,0,1,Chinese,Asian,Thai,
"Champagne Sunday Brunch, Boston","Taj Boston 15 Arlington Street, Boston, MA 02116",(6),3,2,0,0,0,$$ - $$$,American,,
"Nud POB Thai Restaurant, Boston","738 Commonwealth Ave, Boston, MA 02215-1208",(16),3,6,4,2,0,$,Asian,Thai,
"Fushion Lounge, Boston","400 Soldiers Field Rd Doubletree Suites by Hilton Hotel, Boston, MA 02134-1805",(4),3,1,0,0,0,American,Bar,Mediterranean,Asian
"Viga, Boston","133 Pearl St, Boston, MA 02110-2499",(8),3,4,0,0,0,Italian,Pizza,,
"Aceituna Grill, Boston","57 Boston Wharf Rd, Boston, MA 02210-2187",(12),4,3,4,0,1,$,Fast Food,Mediterranean,Middle Eastern
"7-Eleven, Boston","1 1st Ave, Boston, MA 02129-4552",(4),1,2,0,0,0,,,,
"The Avenue, Boston","129 Commonwealth Ave, Boston, MA 02116-2347",(8),3,5,0,0,0,$,American,,
"Jane's Salad & Buffet, Boston","274 Franklin St, Boston, MA 02110-3110",(6),3,2,1,0,0,$,,,
"Bruegger's Bagels, Boston","375 Longwood Ave Ste 1, Boston, MA 02215",(6),4,0,1,1,0,,,,
"Hien Vuong Restaurant, Boston","1487 Dorchester Ave, Boston, MA 02122-1330",(5),3,2,0,0,0,,,,
"Fiouna's Persian Fusion Cuisine, Boston","90 Peterborough St, Boston, MA 02215-4847",(15),4,3,4,1,1,$$ - $$$,Middle Eastern,Persian,Halal
"Andre's Cafe, Boston","811 Harrison Ave, Boston, MA 02118-2904",(10),1,4,3,0,0,$$ - $$$,Cafe,,
"Popeyes Louisiana Kitchen, Boston","710 American Legion Hwy, Boston, MA 02131-3902",(5),2,3,0,0,0,$,,,
"Hot Eastern, Boston","42 Beach St, Boston, MA 02111-2056",(4),1,2,0,0,0,$,,,
"Pikalo, Boston","378 Centre Street, Boston, MA 02131",(6),2,4,0,0,0,,,,
"Cafe Gigu, Boston","102 Meridian St, Boston, MA 02128-1930",(7),4,2,0,0,0,South American,Colombian,,
Boston Nut Roasters,"15 State St, Boston, MA 02109-3502",(3),3,0,0,0,0,,,,
"Fin's Sushi and Grill, Boston","240 Cambridge St, Boston, MA 02114-2710",(32),3,16,2,4,3,$$ - $$$,Japanese,Seafood,Sushi
"Megumi of Japan, Boston","1 Faneuil Hall Sq, Boston, MA 02109-1604",(20),2,7,4,1,1,$,Japanese,Fast Food,Asian
"Subway, Boston","393 Massachusetts Ave Space F-1, Boston, MA 02115",(9),2,1,1,0,0,$,Fast Food,,
"Finagle-A-Bagel, Boston","129 Tremont St, Boston, MA 02135-2417",(10),5,2,2,0,1,$,American,,
"Wicked Lobsta, Boston","Faneuil Hall Marketplace, Boston, MA 02109-6171",(8),4,1,1,0,1,$,Seafood,,
"Dunkin', Boston","147 Tremont St, Boston, MA 02111-1202",(7),1,1,3,0,0,$,American,Fast Food,
"Sandella's Flatbread Cafe, Boston","8 Park Plz, Boston, MA 02116-3952",(8),2,3,0,0,0,$,,,
"VERTS Mediterranean Grill, Boston","545 Boylston St, Boston, MA 02116-3606",(13),3,5,4,0,1,$,Mediterranean,Greek,
"College Pizza, Boston","50 Queensberry St, Boston, MA 02215-5101",(18),11,1,2,0,4,$,Pizza,Fast Food,Vegetarian Friendly
"Porter Belly's Pub, Boston","338 Washington St, Boston, MA 02135-3319",(8),3,4,1,0,0,American,Irish,Pub,
"Sushi Time, Boston","417 Washington St Ste 1, Boston, MA 02108-5217",(6),2,3,1,0,0,$,Japanese,Sushi,
"Applebee's, Boston","11 Allstate Rd, Boston, MA 02125-1663",(67),12,8,13,8,9,$$ - $$$,American,Bar,
"Viga, Boston","275 Washington St, Boston, MA 02108-4304",(8),4,2,2,0,0,Italian,,,
"110 Grill, Boston","1 District Ave, Boston, MA 02125-1683",(7),4,1,1,0,1,$$ - $$$,American,,
"Los Amigos Taqueria, Boston","366 Washington St Brighton Center, Boston, MA 02135-2725",(4),3,1,0,0,0,Mexican,,,
"Caffe Nero, Boston","733 Centre St, Boston, MA 02130-2520",(8),0,5,2,0,0,,,,
"Tasty BBQ, Boston","417 Washington Street, Boston, MA 02110",(4),2,2,0,0,0,$,American,,
"Millenium Restaurant and Grill, Boston","3094 Washington St, Boston, MA 02119-3115",(5),3,2,0,0,0,,,,
"Kung Fu Tea, Boston","334 Massachusetts Ave, Boston, MA 02115",(8),2,3,0,1,0,$,,,
"Brothers Deli & Restaurant, Boston","1638 Blue Hill Ave, Boston, MA 02126-2121",(5),4,1,0,0,0,,,,
"Habanero Mexican Grill, Boston","166 Brighton Ave, Boston, MA 02134-2011",(6),3,3,0,0,0,$,Mexican,,
"Ben & Jerry's, Boston","83 Seaport Boulevard, Boston, MA 02110",(5),1,3,0,0,0,$,,,
"Au Bon Pain, Boston","53 State St, Boston, MA 02109-2820",(17),1,6,5,0,2,French,,,
"La Lechonera Restaurant, Boston","342 Cummins Hwy, Boston, MA 02131-3928",(4),2,0,0,0,0,Caribbean,Latin,Puerto Rican,
"Shake Shack, Boston","322 Washington St, Boston, MA 02108-5121",(5),3,0,1,0,0,,,,
"Felcaro Pizzeria, Boston","280 Cambridge St, Boston, MA 02114-3123",(27),4,10,5,2,3,$,Italian,Pizza,
"Alfredo's Restaurant, Boston","229 Brighton Ave, Boston, MA 02134-2003",(8),5,2,0,1,0,$$ - $$$,Italian,,
"Sausage Guy, Boston","49 Lansdowne St, Boston, MA 02215",(6),4,1,1,0,0,American,,,
"DaCoopa's Pizza, Boston","474 Saratoga St, Boston, MA 02128-1439",(10),5,3,1,0,0,$,Pizza,Greek,
"University Club, Boston","426 Stuart St, Boston, MA 02116-5007",(7),3,3,0,0,0,Seafood,,,
"Roza Lyons, Boston","709 E Broadway, Boston, MA 02127-1528",(5),3,1,1,0,0,,,,
"Dolphin Bay, Boston","72 Brighton Ave, Boston, MA 02134-2101",(6),2,3,1,0,0,$,Asian,Taiwanese,
"Little Asia, Boston","991 Bennington St, Boston, MA 02128-1134",(9),2,4,3,0,0,$,Chinese,,
"Andrew Square House of Pizza, Boston","395 Dorchester St, Boston, MA 02127-2740",(13),4,7,1,0,1,Pizza,,,
"Steve's Kitchen, Boston","120 Harvard Ave, Boston, MA 02134-2701",(10),2,4,3,1,0,$,Diner,,
"Flames Restaurant, Boston","469 Blue Hill Ave, Boston, MA 02121-4301",(8),3,2,2,1,0,,,,
"Cosmica, Boston","40 Berkeley St Located in the Revolution Hotel, Boston, MA 02116-6316",(4),3,0,0,1,0,$$ - $$$,Mexican,,
"Davio's Northern Italian Steakhouse, Boston","1 Harborside Dr, Boston, MA 02128-2907",(11),2,4,2,1,1,$$ - $$$,Italian,American,Steakhouse
"Paraiso Restaurant, Boston","750 Dudley St, Boston, MA 02125-2276",(4),3,1,0,0,0,,,,
"Windy City at Adams Village Pizza, Boston","516 Gallivan Blvd, Boston, MA 02124-5401",(5),3,1,1,0,0,$$ - $$$,,,
"West Napoli Cafe, Boston","1946 Centre St, Boston, MA 02132-2508",(4),3,1,0,0,0,,,,
"Habibi's Lounge, Boston","1217A Commonwealth Ave, Boston, MA 02134-2812",(5),0,0,2,0,0,,,,
"Temptations Cafe, Boston","313 Huntington Ave, Boston, MA 02115-4440",(7),2,2,2,0,0,,,,
"Fargo's Deli of Course, Boston","451 D St, Boston, MA 02210-1950",(5),2,2,1,0,0,Deli,,,
"Shore Leave, Boston","11 William E. Mullins Way at Harrison Ave, Boston, MA 02118",(15),4,6,1,2,2,$$ - $$$,Chinese,Bar,Asian
"Boloco, Boston","283 Longwood Ave, Boston, MA 02115-5704",(5),2,1,1,0,0,Mexican,,,
"Papa Gino's, Boston","748 Gallivan Boulevard, Boston, MA 02122",(6),1,1,1,0,0,Italian,Pizza,,
"Subway, Boston","230 Tremont St Ste A, Boston, MA 02116",(15),5,2,0,0,1,$$ - $$$,Fast Food,Deli,
"Fool’s Errand, Boston","1377 Boylston St, Boston, MA 02215-3936",(3),2,1,0,0,0,,,,
"Xhale, Boston","47 Huntington Ave, Boston, MA 02116-5732",(20),3,8,4,2,2,$$ - $$$,,,
"Ideal Seafood, Boston","21 Fish Pier St E, Boston, MA 02210-2032",(3),2,0,0,0,0,Seafood,,,
"McDonald's, Boston","340 Longwood Ave Longwood Galleria, Boston, MA 02115",(8),3,0,2,1,0,,,,
Second Cup Coffee Boston,"97 Causeway St, Boston, MA 02114-1308",(3),1,2,0,0,0,$,Cafe,,
"Saigon Seafood Restaurant, Boston","270 Adams St, Boston, MA 02122-1310",(8),2,4,1,1,0,Seafood,Vietnamese,,
"BC Baking Company, Boston","27 Como Rd, Boston, MA 02136-1902",(4),2,2,0,0,0,,,,
"Starbucks, Boston","222 Cambridge St, Boston, MA 02114-2710",(6),1,2,3,0,0,$$ - $$$,American,,
"The Junction, Boston","110 Dorchester St, Boston, MA 02127-2201",(8),4,2,2,0,0,,,,
"Bertucci's Italian Restaurant, Boston","1 Blackfan Cir, Boston, MA 02115-5713",(28),8,8,2,4,4,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"il Panino Cafe and Grill, Boston","268 Centre St, Boston, MA 02130-1638",(7),2,3,1,1,0,$,Italian,Pizza,
"Jimmy John's, Boston","413 D St, Boston, MA 02210-1907",(12),0,5,2,1,1,$,,,
"Cafe Mamtaz, Boston","87 L St, Boston, MA 02127-3172",(5),1,4,0,0,0,$$ - $$$,Indian,Middle Eastern,Pakistani
"Birch Bar, Boston","425 Summer Street, Boston, MA 02210",(9),3,2,3,0,1,,,,
"Food Wall, Boston","387 Centre St, Boston, MA 02130-1241",(14),4,6,3,0,1,Chinese,Asian,,
"Blake's, Boston","276 Friend St inside Hotel Indigo, Boston, MA 02114",(4),0,4,0,0,0,,,,
"Blue Star Restaurant, Boston","11 Corinth St, Boston, MA 02131-3022",(11),2,4,3,2,0,American,,,
"Murphys Law, Boston","837 Summer St, Boston, MA 02127-1535",(6),4,1,0,1,0,,,,
"Target Pizza & Subs, Boston","5200 Washington St, Boston, MA 02132-6001",(4),2,1,0,0,0,,,,
"Cafe, Boston","25 New Chardon St, Boston, MA 02114-4774",(3),3,0,0,0,0,Cafe,,,
"Burger King, Boston","1 Harborside Dr Terminal C, Main Terminal Food Court, Boston, MA 02128-2907",(12),1,5,3,1,0,$,Fast Food,,
"Same Old Place, Boston","662 Centre St, Boston, MA 02130-2507",(23),3,8,5,3,3,$,Italian,Pizza,
"Lucca Restaurant & Bar, Boston","Logan Airport Terminal B, Boston, MA",(4),3,0,0,1,0,,,,
"Distraction Brewing Co., Boston","2 Belgrade Ave, Boston, MA 02131-3006",(3),1,2,0,0,0,$$ - $$$,Brew Pub,Pub,
"West Garden, Boston","1890 Centre St, Boston, MA 02132-1924",(5),3,1,1,0,0,,,,
"Mister Q. Cafe, Boston","283 Main St Charlestown, Boston, MA 02129-1671",(2),2,0,0,0,0,,,,
"JMP Fine Indian Cuisine, Boston","1095 Commonwealth Ave, Boston, MA 02215-1022",(3),3,0,0,0,0,,,,
"Amelia's Taqeria, Boston","309 Huntington Ave, Boston, MA 02115-4434",(4),3,0,1,0,0,$,,,
"Americano Espresso Bar, Boston","155 Meridian St, Boston, MA 02128-1670",(3),2,1,0,0,0,,,,
"Saloniki, Boston","132 Brookline Ave Burlington Avenue, Boston, MA 02215-3907",(10),4,1,2,1,1,$$ - $$$,Fast Food,Greek,
"Wai Wai Restaurant, Boston","26 Oxford St, Boston, MA 02111-2036",(3),2,1,0,0,0,,,,
"Charleys Philly Steaks, Boston","400 Brookline Ave Store# 00897, Boston, MA 02215-5408",(8),3,3,1,0,1,$,,,
"Scullers Jazz Club, Boston","400 Soldiers Field Road, Boston, MA 02134",(22),5,4,7,5,0,$$ - $$$,American,Contemporary,
"The cottage, Boston","9 Route, Boston, MA",(13),3,6,2,0,1,$$ - $$$,American,,
"Rock City Pizza, Boston","568 Cambridge St Allston, Boston, MA 02134-2432",(7),3,1,2,0,0,$,American,Pizza,
"Capital One Cafe, Boston","57 Seaport Boulevard, Boston, MA 02210",(5),2,1,0,1,0,,,,
"Energize, Boston","265 Massachusetts Ave, Boston, MA 02115-3508",(4),1,3,0,0,0,$,Healthy,,
"5 Spices House, Boston","58 Beach St, Boston, MA 02111-2017",(14),4,3,2,1,2,$$ - $$$,Chinese,Asian,
"Soup Shack Restaurant, Boston","779 Centre St Jamaica Plain, Boston, MA 02130-2557",(3),2,1,0,0,0,Asian,,,
"Cactus Mexican Grill, Boston","44 Maverick Sq, Boston, MA 02128-2336",(9),4,3,1,1,0,Mexican,,,
"Andalus Pizza & Cafe, Boston","153 Sutherland Rd, Boston, MA 02135-7301",(9),2,3,0,2,0,Pizza,,,
"Crazy Dough's Pizza, Boston","100 Legends Way, Boston, MA 02114-1300",(22),4,7,6,2,2,$,Pizza,Fast Food,
"Tasty Thai, Boston","153 Belgrade Street, Boston, MA 02131-2416",(4),3,0,1,0,0,Thai,,,
"The Quiet Few, Boston","331 Sumner St, Boston, MA 02128-2123",(3),2,1,0,0,0,$$ - $$$,Bar,Pub,
"Moyzilla, Boston","Boston, MA",(5),2,3,0,0,0,$,Asian,Healthy,
Pho So 1 Boston,"223 Adams St, Boston, MA 02122-1618",(7),3,2,1,0,0,Vietnamese,,,
"50Kitchen, Boston","1450 Dorchester Ave, Boston, MA 02122-1343",(2),2,0,0,0,0,,,,
"Tasty Burger Corporation / FRG, Boston","47 Winter St, Boston, MA 02108-4706",(4),1,2,1,0,0,$$ - $$$,Mediterranean,Deli,Middle Eastern
"Sakura Japan, Boston","350 Longwood Ave, Boston, MA 02115-5726",(7),2,3,1,1,0,$,Chinese,Japanese,
"Ciao Bella, Boston","5 North Square North End, Boston, MA 02113-2421",(16),6,2,4,1,3,$$ - $$$,Italian,,
"P&R Ice Cream and Restaurant, Boston","1284 Blue Hill Ave, Boston, MA 02126-1806",(2),2,0,0,0,0,,,,
"Toasted Flats, Boston","53 Chelsea St, Boston, MA 02128-1989",(2),2,0,0,0,0,,,,
"sweetgreen, Boston","47 Northern Avenue, Boston, MA 02210",(2),2,0,0,0,0,,,,
"Mister McGoo's Pizza & Subs, Boston","479 W Broadway, Boston, MA 02127-2267",(6),2,2,2,0,0,Pizza,,,
"Only One Jamaican Restaurant, Boston","160 Norfolk St, Boston, MA 02124-3302",(3),3,0,0,0,0,,,,
"D'Angelo Grilled Sandwiches, Boston","700 Atlantic Ave., Boston, MA 02210",(5),2,2,0,0,0,Pizza,,,
"The Playwright Bar, Boston","658 E Broadway, Boston, MA 02127-1502",(26),6,11,4,2,3,$$ - $$$,American,Bar,Pub
"Pat's Place, Boston","15 Francis St, Boston, MA 02115-6105",(3),1,1,0,0,0,,,,
"Grass Roots Cafe, Boston","101 Arch St Ste 110, Boston, MA 02110-1130",(4),3,1,0,0,0,,,,
"Il Mondo, Boston","738 Huntington Ave, Boston, MA 02115-6313",(6),3,2,0,0,1,Italian,,,
"Churrascaria Vulcao, Boston","203 Adams St, Boston, MA 02122-1618",(3),2,0,0,0,0,$,,,
"Davio's Seaport, Boston","50 Liberty Dr, Boston, MA 02210-1339",(6),3,1,1,0,1,$$$$,Northern-Italian,,
"Adam's Fish Market, Boston","783 Adams St, Boston, MA 02124-5103",(2),2,0,0,0,0,Seafood,,,
"Wings Over, Boston","325 Huntington Ave, Boston, MA 02115-4401",(7),3,1,1,1,0,,,,
"Caffe Strega, Boston","1 Marina Park Dr, Boston, MA 02210-1832",(8),4,0,3,1,0,,,,
"Little City Feed, Boston","66A Boylston St, Boston, MA 02116-4719",(4),2,2,0,0,0,American,,,
"Tavitas - A Mexican Joint, Boston","650 Atlantic Ave 1 South Station, Suite 132, Boston, MA 02210-2201",(16),4,2,5,3,1,$$ - $$$,Mexican,,
"7-Eleven, Boston","200 Seaport Blvd, Boston, MA 02210-2031",(4),2,0,2,0,0,,,,
"Pizza Shuttle, Boston","239 Meridian St, Boston, MA 02128-1624",(5),1,2,1,0,0,Pizza,,,
"South of the Clouds, Boston","412A Market St, Boston, MA 02135-2707",(3),1,1,0,0,0,Chinese,Yunnan,,
"Liberty Diner, Boston","1003 Massachusetts Ave, Boston, MA 02118-2614",(2),2,0,0,0,0,American,,,
"Table 88, Boston","88 Exeter St, Boston, MA 02116-3504",(5),3,2,0,0,0,American,Cafe,,
"Fat Baby Sushi & Cocktails, Boston","118 Dorchester St, Boston, MA 02127-2202",(10),2,4,3,0,1,Sushi,,,
"Yamoto II, Boston","545 Boylston St, Boston, MA 02116-3606",(20),4,1,4,2,2,$$ - $$$,Japanese,Sushi,Asian
"Water Cafe, Boston","100 Northern Ave, Boston, MA 02210-1980",(11),2,5,2,1,0,$,American,Cafe,
"Romano's Pizzeria and Taqueria, Boston","4249 Washington St, Boston, MA 02131-3018",(7),5,1,0,0,1,$,,,
"Wendy's, Boston","71 Summer Street, Boston, MA 02110",(6),1,2,3,0,0,$,,,
